quilates,porcentaje profundidad,ancho superior,price
1.09,62.1,57.0,7813
0.57,62.6,58.0,2290
1.01,61.8,60.0,4855
0.78,63.3,56.0,3563
0.26,62.9,56.0,614
1.52,56.3,61.0,7702
0.31,60.9,60.0,571
1.21,62.6,54.8,7426
0.42,59.8,58.0,847
2.15,62.4,60.0,13746
0.35,62.5,58.0,906
1.21,62.7,58.0,8616
0.71,61.5,62.0,1755
1.5,69.6,62.0,7560
0.3,62.3,57.0,766
0.71,60.5,58.0,2162
0.58,62.1,56.0,2528
0.32,62.6,55.0,1170
0.3,62.4,58.0,776
1.05,61.6,58.0,7521
1.01,61.5,57.0,7727
0.36,61.4,56.0,747
0.51,62.2,54.0,1443
1.53,61.6,58.0,10907
0.3,60.1,57.0,956
0.32,60.9,61.0,730
0.8,62.2,58.0,2346
1.54,61.4,55.0,5994
0.76,61.6,55.0,2725
0.32,63.0,57.0,648
0.25,61.7,57.0,548
0.33,61.7,55.0,984
1.2,63.8,60.0,7666
0.9,62.4,58.0,3250
0.71,64.0,59.0,1840
0.5,62.4,53.0,1370
1.54,61.2,56.0,13794
1.34,62.3,59.0,7230
1.08,61.2,60.0,7824
0.4,62.6,58.0,1035
0.32,60.9,56.0,477
0.91,64.3,58.0,2863
0.77,59.5,60.0,2939
0.4,63.0,57.0,720
0.51,60.3,61.0,1220
1.0,61.6,58.0,4626
0.9,60.9,59.0,3730
0.52,59.4,60.0,1267
0.7,63.7,60.0,2565
0.7,62.1,57.0,2376
0.39,61.4,60.0,958
1.0,63.3,58.0,6048
0.37,62.1,60.0,551
1.08,60.2,59.0,4407
0.41,62.1,57.0,1276
2.03,62.5,57.0,14579
0.53,61.7,55.0,1857
0.53,61.7,56.0,1753
2.71,60.4,59.0,17146
1.31,61.5,56.0,8429
0.51,63.2,55.0,1562
0.3,62.4,58.0,737
1.01,64.1,59.0,6037
0.9,61.3,61.0,4515
0.83,61.3,56.0,4271
0.4,58.7,57.0,611
1.0,62.6,57.0,6468
0.33,61.5,60.0,780
1.03,60.0,62.0,4819
0.72,61.6,58.0,2720
0.32,62.4,57.0,645
0.9,62.0,57.0,4318
0.43,61.0,57.0,993
0.7,63.6,62.0,2858
1.19,58.9,60.0,4758
0.6,62.1,57.4,1715
0.73,61.6,55.0,3535
1.51,62.2,57.0,12947
1.07,62.5,59.0,3296
0.71,61.5,56.0,2122
1.28,60.2,60.0,5376
0.38,63.1,55.0,1005
0.31,62.6,55.0,698
0.53,61.6,56.0,2896
1.02,61.7,58.0,5426
1.19,63.4,56.8,4329
1.06,61.9,58.0,4862
0.51,58.0,60.0,1831
1.1,62.5,55.0,5407
0.53,61.2,56.0,1842
0.33,60.6,61.0,743
0.32,62.7,54.0,972
2.02,61.7,53.0,18077
0.56,61.9,55.0,1915
0.93,61.6,54.0,3985
1.73,64.2,58.0,14479
0.3,61.6,58.0,886
0.3,63.0,55.0,524
0.41,62.7,54.0,1043
0.34,61.4,56.0,973
0.53,61.4,55.0,1585
1.17,62.2,56.0,5944
0.32,62.8,59.0,645
1.2,61.2,56.0,9570
1.02,61.0,56.0,8225
0.54,62.3,56.0,1317
2.02,65.5,57.0,15765
0.36,62.7,55.0,689
1.2,63.2,59.0,5699
1.52,63.5,58.0,11075
0.77,62.5,57.0,3357
0.31,61.8,53.0,652
0.4,61.1,61.0,900
0.58,62.1,56.0,1983
0.32,61.7,57.0,898
0.42,60.8,58.0,773
1.5,64.0,56.0,5914
0.92,61.6,56.0,4587
0.71,61.1,57.0,2606
0.7,64.2,58.0,2351
1.19,62.0,57.0,12795
0.43,61.0,58.0,774
1.62,62.3,58.0,13578
0.31,62.2,53.0,706
1.08,62.7,56.0,6982
0.52,63.3,55.0,1689
0.4,61.6,58.0,990
0.79,64.1,54.0,2849
0.34,61.4,56.0,657
0.83,58.2,59.0,4521
0.54,60.7,57.0,2113
1.0,62.9,53.0,7848
1.3,61.9,56.0,7747
0.4,61.6,57.0,1123
0.24,62.0,56.0,559
1.0,60.0,62.0,3584
0.4,61.4,57.0,666
0.31,62.7,57.0,660
1.15,60.9,57.0,5139
0.71,61.3,56.0,3553
1.09,62.0,54.0,6905
0.54,60.3,58.0,1939
1.09,62.5,56.0,5219
0.56,62.2,60.0,1432
1.25,61.5,60.0,8840
0.9,62.8,59.0,4612
1.24,61.3,57.0,6254
1.06,59.8,56.0,6169
1.01,60.5,61.0,3761
0.73,62.0,55.0,2184
0.44,62.2,62.0,1059
0.34,61.8,57.0,574
0.48,58.6,62.0,1199
0.42,61.6,56.0,896
0.41,61.7,55.0,664
1.18,60.9,57.0,6328
0.54,61.9,55.0,1927
0.32,63.1,55.0,505
2.03,61.1,58.0,6377
0.91,63.2,58.0,4209
0.31,62.8,55.0,489
0.31,60.8,60.0,435
0.71,65.5,55.0,2686
1.09,62.5,59.0,4322
1.03,61.7,56.0,7587
1.01,59.8,61.0,4680
0.33,61.0,56.0,1077
0.38,62.2,56.0,1100
1.11,62.0,56.0,5010
0.79,62.9,55.0,3075
1.2,62.6,59.0,7909
0.42,61.2,60.0,626
0.42,62.1,54.0,961
1.13,64.9,55.0,4123
0.54,62.4,55.0,1637
0.47,62.4,55.0,784
0.54,61.4,55.0,2090
0.54,60.2,59.0,2198
0.52,61.7,56.0,1708
0.31,60.8,56.0,1081
1.61,62.1,58.0,10350
1.35,62.8,60.0,6804
0.3,62.0,60.0,565
1.0,63.3,55.0,4516
2.01,59.2,57.0,17492
0.3,62.9,57.0,526
0.27,61.0,56.0,504
0.7,58.2,63.0,2583
0.84,62.4,57.0,3685
0.7,55.9,62.0,2399
0.71,62.3,60.0,2169
1.51,62.5,59.0,12756
0.4,62.0,54.0,1053
0.9,63.4,58.0,3556
0.4,62.9,55.0,975
0.77,58.4,63.0,2635
0.4,62.9,56.0,1191
0.3,62.3,56.0,603
0.77,62.8,58.0,3829
0.31,58.0,62.0,761
0.56,60.2,56.0,1686
0.48,61.0,57.0,918
1.5,61.7,59.0,7258
0.7,64.7,55.0,2117
0.7,64.2,58.0,2330
0.73,61.3,59.0,2870
1.03,65.2,56.0,3530
0.71,61.8,55.0,3080
0.32,62.4,57.0,554
0.37,60.2,58.0,971
2.0,62.8,56.0,15258
0.33,62.9,57.0,854
1.51,62.3,59.0,11540
0.5,62.3,56.0,1337
0.33,61.5,57.0,928
2.01,58.9,60.0,17024
0.51,62.6,57.0,1438
2.02,62.6,58.0,13499
0.71,61.9,54.0,1902
0.5,61.2,56.0,1332
1.3,63.6,59.0,5175
1.09,60.9,56.0,10333
0.32,61.9,55.0,936
1.05,61.2,57.0,8931
0.7,62.3,56.0,1758
0.72,57.6,63.0,2123
0.5,63.0,58.0,1583
0.72,62.9,57.0,1970
0.56,61.0,55.0,1708
0.53,63.4,55.0,1079
1.08,61.4,57.0,4476
0.33,61.8,56.0,743
0.3,61.2,60.0,709
0.71,60.4,60.0,2185
1.03,62.4,58.0,4274
0.91,63.1,61.0,4536
0.51,62.1,56.0,1068
0.3,61.4,57.0,956
0.32,62.2,57.0,561
0.3,61.5,56.0,605
0.53,60.9,59.0,1428
0.61,62.8,59.0,1719
0.83,58.6,61.0,2613
1.7,61.8,60.0,10377
0.71,62.7,59.0,2322
0.4,60.4,61.0,1050
0.5,62.1,55.0,1935
0.28,62.1,55.0,490
0.32,61.8,56.0,786
1.65,62.5,56.0,8334
0.92,62.1,54.0,5886
0.34,61.4,57.0,967
1.05,61.7,60.0,4363
2.25,61.4,54.0,9072
1.51,62.9,62.0,9474
2.01,60.9,58.0,12048
1.0,61.9,61.0,4312
0.71,62.8,57.0,3062
0.39,62.2,56.0,1024
1.02,62.1,59.0,5569
0.31,61.9,55.0,872
1.23,60.3,58.0,6997
0.59,59.4,63.0,2145
1.15,62.3,56.0,4927
0.4,59.3,59.0,912
0.24,61.5,61.0,485
0.52,61.7,55.0,1790
1.51,60.0,60.0,6266
1.0,59.1,62.0,6369
0.71,61.9,56.0,2999
1.01,60.3,59.0,6674
0.24,61.2,55.0,485
0.41,61.5,56.0,1444
0.9,61.5,61.0,3057
0.8,61.4,57.0,2761
0.41,62.3,56.0,935
1.26,61.7,60.0,6733
0.31,60.7,61.0,749
0.41,62.8,58.0,1107
1.01,63.9,54.0,4416
1.02,64.6,59.0,6736
0.43,63.4,57.0,669
0.32,61.0,61.0,477
0.33,61.6,57.0,699
0.26,61.7,56.0,635
0.72,62.4,56.0,3084
0.57,62.4,58.0,1949
1.02,61.3,62.0,4044
0.33,62.1,58.0,891
1.24,62.0,57.0,9188
1.27,60.0,61.0,7503
0.33,61.1,56.0,539
1.03,62.2,57.0,3997
1.0,61.9,57.0,7526
1.15,61.5,57.0,12193
1.04,61.6,56.0,4892
0.31,58.3,61.0,583
1.1,59.7,58.0,9901
2.18,61.0,60.0,17475
0.5,65.7,57.0,1031
0.57,61.4,55.0,1810
0.31,60.8,54.0,680
0.51,61.2,57.0,1669
0.71,58.1,58.0,3347
0.77,62.3,58.0,1807
0.56,61.2,57.0,1664
0.37,60.7,57.0,487
0.51,62.6,57.0,2203
0.35,60.2,57.0,644
1.51,60.6,60.0,10267
1.16,60.0,59.0,9146
1.31,63.4,57.0,7277
0.44,60.1,60.0,990
1.5,60.9,59.0,10023
1.5,63.1,57.0,11863
0.3,61.1,57.0,1069
0.46,63.5,57.0,1089
0.3,62.1,56.0,384
0.81,59.1,57.0,2585
0.32,61.9,55.0,702
0.7,58.7,64.0,2573
1.01,61.8,59.0,6912
0.31,61.5,55.0,749
0.41,59.9,59.0,1061
1.08,61.0,57.0,7781
1.2,59.4,61.0,9987
0.92,62.4,56.0,3332
0.42,61.8,58.0,773
0.56,58.8,59.0,1340
1.5,62.0,54.0,10164
0.59,60.0,56.0,2021
1.0,62.7,58.0,6608
1.51,59.8,58.0,14482
0.35,62.2,56.0,522
1.02,62.1,56.0,3987
1.29,61.6,57.0,6588
0.7,65.3,55.0,2762
0.31,61.2,59.0,625
0.26,63.1,57.0,499
0.31,60.9,57.0,635
0.3,61.9,56.0,475
1.27,61.3,60.0,11797
0.54,61.6,58.0,1389
0.77,59.4,59.0,3966
0.32,62.6,58.0,505
0.32,61.2,56.0,828
0.75,60.7,55.0,2872
0.7,62.6,55.0,2184
0.35,61.1,56.0,1116
0.9,62.8,59.0,4099
1.54,60.9,61.0,6194
1.2,60.4,58.0,5779
1.23,62.2,55.0,7260
0.71,58.1,59.0,2628
1.12,61.5,57.0,5018
2.24,61.8,54.0,15316
1.17,60.7,56.0,6419
1.03,60.5,61.0,5313
0.35,61.8,59.0,827
0.32,62.6,53.0,702
0.96,61.5,63.0,1637
0.83,61.9,53.0,3103
1.1,63.1,57.0,5729
0.3,62.0,60.0,878
0.7,62.9,60.0,2184
1.0,63.1,58.0,4149
1.06,61.4,55.0,5116
0.49,63.6,57.9,1400
0.5,61.9,56.0,1446
0.9,62.6,57.0,3548
1.83,62.9,55.0,11883
0.71,62.5,56.0,2543
0.75,63.8,55.0,2453
0.3,61.7,56.0,694
1.14,62.3,59.0,5650
0.9,62.5,55.0,4946
0.57,59.2,57.0,1637
0.72,61.2,56.0,3816
1.2,63.1,60.0,2850
0.35,62.6,59.0,614
1.04,59.8,58.0,5154
1.06,59.6,60.0,7280
1.01,62.6,55.0,3818
0.3,63.5,55.0,526
0.54,62.1,56.0,1786
0.39,62.5,54.0,857
0.52,63.0,56.0,870
0.9,61.8,56.0,3253
1.01,61.2,61.0,5294
0.32,62.7,58.0,554
2.0,61.5,57.0,12587
0.92,62.6,56.0,4173
0.33,63.2,58.0,445
0.31,61.7,57.0,544
0.92,62.5,60.0,3986
1.01,62.6,61.0,5050
1.61,61.6,56.0,9961
1.0,59.9,63.0,4184
0.74,61.4,59.0,2671
1.55,61.4,55.0,8498
1.55,58.5,60.0,7972
0.55,61.7,56.0,1712
1.22,62.3,57.0,8575
0.55,61.7,59.0,1629
1.04,61.0,57.0,5189
1.22,63.1,59.0,5192
1.12,61.8,56.0,5838
0.9,60.6,62.0,2830
0.34,61.1,54.0,999
0.54,59.5,58.0,1786
1.01,60.2,59.0,5759
0.75,62.2,55.0,2757
0.7,63.5,58.0,2592
2.02,61.4,59.0,15606
0.51,58.2,58.0,2020
0.7,60.6,60.0,3536
0.32,63.8,59.0,593
0.51,59.7,58.0,1261
1.01,62.6,56.0,5698
0.5,62.0,56.0,1166
0.28,61.0,59.0,487
0.37,64.0,56.0,473
1.0,59.8,54.0,7885
0.51,64.0,57.0,1274
0.35,62.1,54.0,777
1.75,61.8,56.0,13393
0.7,66.3,63.0,1014
0.46,61.2,55.0,1401
0.52,62.0,53.0,1893
0.82,64.0,57.0,2805
0.56,61.3,54.0,1723
0.26,63.3,58.0,468
0.41,61.0,56.0,683
1.05,62.2,58.0,4682
0.7,62.5,55.0,2558
0.56,61.1,59.0,1668
1.51,62.9,57.0,8879
0.31,63.3,59.0,502
0.47,60.6,54.0,983
0.71,57.9,61.0,3907
1.01,63.9,60.0,5147
0.7,63.1,60.0,2445
1.06,58.8,62.0,4887
0.55,62.8,56.0,1941
0.77,61.7,58.0,2988
0.39,60.9,59.0,1009
0.35,61.5,55.0,715
0.51,60.1,59.0,1574
1.53,61.1,58.0,9424
0.56,62.8,58.0,1091
0.71,62.1,62.0,2599
0.4,63.3,58.0,840
0.41,61.3,58.0,863
1.16,61.5,54.0,5206
0.46,61.7,59.0,1437
1.11,61.9,58.0,3589
0.71,62.1,56.0,2306
1.64,63.0,58.0,5624
1.3,61.8,57.0,5421
0.36,62.0,55.0,753
2.04,60.0,60.0,16319
0.5,59.5,59.0,1154
1.23,63.6,57.0,5386
1.51,62.5,57.0,10210
0.8,61.6,58.0,3429
0.8,61.6,54.0,3884
0.53,63.0,54.0,1279
0.32,60.2,60.0,645
0.7,61.2,54.0,2310
1.03,61.6,59.0,4441
0.7,60.7,59.0,2025
2.21,61.9,56.0,13615
3.01,62.7,58.0,8040
0.72,61.1,54.0,2673
0.24,59.9,58.0,571
0.7,58.5,60.0,3543
0.42,62.0,57.0,823
0.74,60.4,56.0,2379
1.71,58.1,59.0,9193
1.33,61.0,60.0,6256
2.0,61.4,63.0,13542
0.61,63.0,60.0,2319
2.07,61.5,59.0,13800
1.01,65.3,57.0,4256
0.9,61.3,60.0,3774
0.75,58.3,60.0,2923
0.3,62.2,60.0,526
2.01,59.2,60.0,13574
1.62,61.8,59.0,9526
0.54,61.1,57.0,1774
1.76,62.8,55.4,18014
0.57,62.4,57.0,1963
0.71,62.5,58.0,2978
1.75,61.6,55.0,12531
0.72,61.3,57.0,2642
0.31,62.1,55.0,734
0.3,62.3,54.1,779
0.51,61.9,56.0,1781
0.38,60.7,55.0,1219
0.74,64.2,59.0,1865
1.51,62.7,58.0,6393
1.02,62.1,57.0,6412
0.41,62.0,59.0,683
0.7,62.9,58.0,2333
0.7,62.6,56.0,2513
0.81,61.8,55.0,3624
0.51,62.5,55.0,1781
1.5,62.0,56.0,11180
0.9,62.7,59.0,4543
2.14,58.4,58.0,10306
1.1,62.0,57.0,11132
0.57,60.8,56.0,1919
0.32,62.7,57.0,576
0.9,61.4,58.0,3445
0.41,63.7,55.0,570
1.2,62.4,57.0,8701
0.5,61.9,54.0,1648
2.08,60.1,59.0,18405
0.82,61.8,55.0,2959
0.4,59.5,59.0,1080
0.32,61.7,55.0,655
0.38,61.3,56.0,666
0.31,63.4,55.0,544
0.32,61.7,55.0,828
1.03,62.3,57.0,3738
0.59,62.8,54.0,2040
0.51,62.3,58.0,1781
0.52,61.8,56.0,1605
0.9,61.7,57.0,3772
1.51,63.5,55.0,13624
0.28,62.4,56.0,828
1.2,59.7,60.0,9475
0.43,62.1,57.0,669
1.24,61.1,57.0,8449
0.54,61.5,55.0,2848
0.38,61.0,56.0,694
0.35,61.1,56.0,780
1.0,59.3,60.0,6048
0.9,60.6,53.0,4562
0.55,61.5,55.1,2451
0.79,60.3,60.0,2907
1.21,62.0,56.0,7806
1.75,60.3,61.0,15394
1.05,62.7,54.0,4018
0.42,62.4,59.0,921
0.78,61.3,60.0,3012
1.5,62.6,57.0,4096
1.4,61.8,54.0,8419
0.63,58.8,59.0,1846
0.24,60.7,57.0,504
0.38,60.9,56.0,1026
0.3,61.2,57.0,621
1.21,61.1,57.0,12556
0.37,61.3,58.0,746
1.01,61.7,59.0,7466
2.17,62.3,58.0,13556
2.05,62.5,59.0,15897
0.35,62.5,57.0,706
2.02,61.3,60.0,15987
0.42,61.9,57.0,1031
0.31,61.1,56.0,826
1.02,58.3,61.0,4004
0.42,61.7,53.0,1223
0.9,62.4,59.0,3519
1.0,62.2,61.0,4543
1.01,61.3,59.0,5006
1.02,60.8,58.0,4633
0.7,64.0,57.0,2381
1.2,61.6,57.0,7372
1.0,62.4,59.0,5571
0.34,59.0,62.0,835
0.42,61.6,60.0,1029
0.7,62.6,56.0,2196
0.3,59.5,56.0,778
0.5,62.5,58.0,1279
0.36,61.8,58.0,789
1.07,62.8,54.0,8212
0.96,61.7,55.0,4529
0.7,61.6,60.0,2470
1.0,61.9,57.0,8217
0.33,62.3,54.0,855
1.5,62.7,56.0,8988
0.73,60.8,63.0,2098
0.9,61.6,55.0,4460
1.04,62.0,57.0,4277
1.02,63.3,58.0,4948
0.96,63.9,58.0,3312
0.7,59.5,58.0,2484
1.21,65.6,59.0,4926
0.74,59.8,58.0,2896
0.31,61.0,56.0,530
1.1,62.6,59.0,4269
0.43,61.3,56.2,729
0.74,61.2,56.0,2889
1.39,60.8,58.0,7239
1.57,59.2,59.0,10914
0.3,61.0,58.0,601
0.31,62.1,55.0,636
0.91,61.0,58.0,4132
2.19,63.7,56.0,13978
1.51,60.6,57.0,11540
1.51,62.9,59.0,6942
0.31,61.7,55.0,698
1.54,61.8,57.0,7512
0.27,62.2,55.0,432
0.23,63.2,58.0,483
0.71,61.1,56.0,3137
0.55,61.6,56.0,1621
0.33,62.3,55.0,868
0.51,60.7,58.0,1421
1.74,62.0,57.0,18430
1.03,60.7,60.0,4458
0.87,60.4,58.0,3566
0.89,62.7,57.0,4003
1.14,63.3,56.0,8912
1.02,62.2,59.0,11573
1.39,61.6,53.0,8271
0.25,60.7,60.0,576
0.9,61.6,56.0,5386
1.5,61.9,57.0,9828
1.0,61.8,58.0,4053
0.6,61.0,56.0,2171
1.28,62.5,59.0,5719
0.58,60.8,57.0,2359
0.58,63.0,56.0,2421
1.54,59.3,59.0,6202
0.33,61.9,59.0,868
1.75,61.5,58.0,9526
0.41,62.0,60.0,1079
0.4,61.6,55.0,619
1.18,61.5,62.0,3816
2.08,61.8,56.0,18124
1.02,61.7,57.0,5047
0.53,63.0,55.0,1408
0.31,62.1,56.0,571
0.42,61.8,56.0,1216
0.72,60.0,57.0,3550
0.31,60.8,57.0,583
0.33,61.2,60.0,868
1.2,63.3,59.0,4274
1.23,61.8,56.0,11141
2.0,61.5,61.0,13134
0.26,59.6,55.0,590
0.4,61.7,55.0,1238
0.77,62.0,57.0,2257
1.17,61.8,54.0,4999
0.5,61.6,57.0,1316
0.41,61.0,59.0,1192
0.33,61.6,58.0,1002
0.34,61.8,55.0,555
0.73,61.9,55.0,2919
1.1,61.2,56.0,9641
0.41,62.7,55.0,719
0.32,61.7,61.0,720
2.0,64.3,60.0,10416
0.4,62.4,57.0,1163
1.53,62.7,62.0,7389
1.01,63.3,56.0,5662
0.38,61.0,56.0,874
2.01,60.8,59.0,12423
0.72,61.6,56.0,3554
1.55,61.5,58.0,15991
0.29,61.2,56.0,619
0.73,62.4,53.0,3140
0.71,62.8,58.0,2277
1.02,62.3,54.0,4604
1.02,61.8,57.0,4832
1.03,61.7,54.9,5393
0.3,62.2,56.0,814
0.32,61.9,55.0,1018
0.41,61.7,56.0,787
1.7,62.2,56.0,17597
1.07,59.4,60.0,4552
0.32,62.9,54.0,720
2.13,57.9,60.0,16462
0.31,60.2,59.0,1046
0.93,64.5,56.3,3425
0.5,63.6,56.0,1188
0.33,61.9,55.0,1114
1.08,62.9,59.0,4627
1.11,64.2,58.0,4606
0.3,62.6,58.0,789
0.3,62.5,56.0,694
1.01,60.2,58.0,6335
0.55,61.7,57.0,1819
2.01,64.1,62.0,13464
0.54,62.6,59.0,1720
0.31,61.4,62.0,802
0.55,62.9,54.0,1179
1.05,61.6,61.0,5255
0.7,62.3,57.0,2723
0.4,64.2,57.0,798
1.0,62.5,59.0,5880
0.58,61.0,57.0,1634
0.33,62.4,55.0,928
1.04,61.8,56.0,4630
2.19,62.5,56.0,15254
1.04,62.5,59.0,10350
0.42,61.3,57.0,1142
0.56,61.2,56.0,1698
0.41,63.1,57.0,945
1.04,62.0,57.0,4530
1.7,62.6,54.0,7197
0.57,62.8,62.0,1642
1.36,62.0,56.0,7218
0.32,61.5,56.0,1140
1.03,65.7,58.0,3530
0.76,61.6,58.0,2663
0.3,60.8,56.0,885
0.42,60.9,58.0,898
1.04,62.8,56.0,7738
0.92,62.1,59.0,3854
0.35,60.8,58.0,1167
1.51,62.2,58.0,13757
0.92,63.3,57.0,3649
0.91,63.0,58.0,3282
1.01,63.1,60.0,6533
1.23,62.0,57.0,5855
0.5,63.3,56.0,2070
0.95,62.8,59.0,4628
1.22,62.8,56.0,7584
0.51,63.1,58.0,1875
1.53,60.1,59.0,8058
0.48,59.1,62.0,1616
1.05,59.5,59.0,4742
0.41,62.3,56.0,1236
0.33,61.7,61.0,608
1.51,62.7,57.0,14938
0.36,60.6,57.0,1094
0.32,62.6,58.0,936
0.7,61.9,62.0,2088
0.59,63.7,59.0,2053
1.51,60.2,62.0,7340
0.3,62.1,56.0,450
0.74,61.2,56.0,3434
1.01,62.9,56.0,5902
1.27,60.9,59.0,7980
1.72,62.0,57.0,9551
0.71,63.2,57.0,2516
0.72,61.4,58.0,1846
0.71,61.9,59.0,2498
1.51,62.4,56.0,11950
1.2,63.0,58.0,6026
1.04,62.1,56.0,4484
0.35,62.3,55.0,827
0.37,61.3,56.0,997
1.2,63.6,60.0,4346
0.91,63.5,56.0,4389
0.32,61.3,57.0,645
1.0,67.0,53.0,3136
0.32,62.3,60.0,720
0.41,59.7,59.0,1061
0.5,60.2,57.0,1845
0.32,61.0,55.0,648
0.96,60.3,59.0,3269
1.0,62.1,57.0,6612
0.73,60.4,59.0,2772
1.01,62.8,59.0,5515
0.36,60.6,60.0,678
0.5,62.4,52.0,1153
0.91,61.5,60.0,3911
0.34,61.5,54.0,537
0.73,61.9,55.0,4258
0.42,61.9,59.0,810
1.06,62.4,58.0,4372
0.5,61.3,58.0,1020
0.52,62.7,57.0,1689
2.01,61.6,56.0,15188
0.5,63.8,54.0,1752
0.9,62.1,58.0,3492
0.66,60.5,59.0,3051
1.01,60.9,57.0,6663
1.01,62.8,57.0,5411
0.28,59.9,62.0,504
1.51,63.7,55.0,7953
1.03,61.3,57.0,5476
0.24,61.9,56.0,492
1.02,61.0,58.0,4457
1.01,61.9,58.0,6047
0.9,59.5,63.0,3160
1.01,60.0,62.0,4836
0.58,59.1,59.6,2021
0.32,61.8,55.0,479
0.3,61.7,59.0,710
0.52,62.5,59.0,1001
0.37,60.4,58.0,876
0.33,62.2,55.0,965
0.3,63.9,56.0,473
0.51,61.5,55.0,1438
0.4,64.2,56.0,682
